High,Low,Open,Close,Volatility,Returns,Date
6555.29,6396.87,6528.92,6467.07,1.2935722559108191,-0.007032505650791427,1536278400
7057.17,6920.16,6973.97,7037.58,1.2977365258131124,0.08454121448418166,1535673600
6719.96,6498.64,6551.52,6719.96,0.8309636179357767,-0.04618215893798633,1535068800
6582.5,6324.97,6340.91,6580.63,0.5863210884617771,-0.02095171670154281,1534464000
6591.26,6124.52,6571.42,6184.71,0.6570356850869696,-0.06205036832102182,1533859200
7562.14,7328.65,7562.14,7434.39,1.0812155264700298,0.1840364150478011,1533254400
8262.66,7839.76,7950.4,8165.01,1.1413878575019747,0.09374141899979448,1532649600
7594.67,7323.26,7467.4,7354.13,1.260440929501296,-0.1045958909841388,1532044800
6310.55,6192.24,6235.03,6238.05,1.477810732579669,-0.16459442663424603,1531440000
6700.94,6533.55,6638.69,6673.5,1.5148527240224428,0.06747682638903267,1530835200
6261.66,5835.75,5898.13,6218.3,1.5468593931889318,-0.07064790243459051,1530230400
6747.08,6006.6,6737.88,6083.69,1.5431295970170524,-0.02188513771878094,1529625600
6681.08,6433.87,6674.08,6456.58,1.5716386965366256,0.05948834606321835,1529020800
7698.19,7558.4,7685.14,7624.92,1.7110772932548215,0.1663220647932413,1528416000
7604.73,7407.34,7500.7,7541.45,1.6936863307938255,-0.01100735941173885,1527811200
7659.14,7392.65,7592.3,7480.14,1.6894080380928465,-0.00816296283464538,1527206400
8274.12,7974.82,8091.83,8250.97,1.6908527787944203,0.09807926080390456,1526601600
9052.96,8394.46,9052.96,8441.49,1.490910944811592,0.022828064118146158,1525996800
9779.2,9585.96,9695.5,9700.76,1.5615776181815795,0.13904539964473597,1525392000
9375.47,8987.05,9290.63,8987.05,1.5171101734641024,-0.07641958070294522,1524787200
8880.23,8244.54,8286.88,8845.83,1.23717230633338,-0.015838490716667927,1524182400
8183.96,7758.93,7901.09,7895.96,1.3786905005351138,-0.11359492527372723,1523577600
6857.49,6575.0,6815.96,6636.32,1.5888142220862154,-0.1737936432762822,1522972800
7276.66,6683.93,7171.45,6890.52,1.5887731199017396,0.03758896088989793,1522368000
8879.62,8360.62,8736.25,8879.62,1.9371043885914696,0.2536122094198131,1521763200
8585.15,8005.31,8322.91,8338.35,1.8406086491646947,-0.06289340822486769,1521158400
9466.35,8513.03,9414.69,9337.55,1.8991215430635708,0.113178550126161,1520553600
11189.0,10850.1,10977.4,11086.4,2.017892102547999,0.17167522669403812,1519948800
10487.3,9734.56,9937.07,10301.1,2.0436994665064936,-0.073468446241184,1519344000
10324.1,9824.82,10135.7,10233.9,2.0467027118144734,-0.006544946665036258,1518739200
8736.98,7884.71,8271.84,8736.98,2.090185586938229,-0.1581411467866789,1518134400
9142.28,7796.49,9142.28,8830.75,2.063495683903341,0.010675356523129204,1517529600
11656.7,10470.3,11256.0,11171.4,2.32707140134327,0.23511699222671487,1516924800
11992.8,11172.1,11429.8,11607.4,2.2302089079772274,0.038285884807370135,1516320000
14229.9,13158.1,13453.9,13980.6,2.0732026875677256,0.18602782858433486,1515715200
17705.2,15202.8,15477.2,17429.5,2.189829794490001,0.2204935186075796,1515110400
15279.0,14307.0,14695.8,14656.2,2.2747857237145954,-0.17330071882033463,1514505600
15943.4,11833.0,15898.0,13831.8,2.2696253263083177,-0.05789316507540612,1513900800
18154.1,16601.3,16601.3,17706.9,2.4418194973301777,0.2469841050726187,1513296000
18353.4,14336.9,17802.9,16569.4,2.4211089280957525,-0.06639677335931884,1512691200
11046.7,9694.65,10198.6,10975.6,3.150424687959258,-0.41188299359399433,1512086400
8374.16,7940.93,8074.02,8253.69,3.4211936439111903,-0.28501425409354153,1511481600
8004.59,7561.09,7853.57,7708.99,3.3610707156830175,-0.0682731927860568,1510876800
7312.0,6436.87,7173.73,6618.14,3.4203175768421765,-0.1525728165881873,1510272000
7461.29,7002.94,7087.53,7207.76,3.2235467701366223,0.08534385971131041,1509667200
5988.39,5728.82,5899.74,5780.9,3.3032442227421392,-0.22059884350889342,1509062400
6060.11,5627.23,5708.11,6011.45,3.117916641949017,0.03910660410116591,1508457600
5840.3,5436.85,5464.16,5647.21,2.762652998275998,-0.06250436611994996,1507852800
4413.27,4320.53,4324.46,4370.81,2.84221522142481,-0.2562132712641051,1507248000
4214.63,4039.29,4171.62,4163.07,2.8457084583043373,-0.04869556375402352,1506643200
3758.27,3553.53,3628.02,3630.7,2.255800772849376,-0.1368273157169226,1506038400
3733.45,2946.62,3166.3,3637.52,2.322042035528951,0.0018766636127123385,1505433600
4661.0,4075.18,4605.16,4228.75,2.162737114098487,0.1506043103484989,1504828800
4892.01,4678.53,4701.76,4892.01,2.125347753977202,0.1456968208637759,1504224000
4455.7,4307.35,4332.82,4371.6,2.1466541065662654,-0.11247418715617555,1503619200
4370.13,4015.4,4324.34,4160.62,2.08180540021584,-0.04946497319079921,1503014400
3679.72,3372.12,3373.82,3650.62,2.021544891055519,-0.1307670854465717,1502409600
2899.33,2743.72,2806.93,2895.89,2.0425084806110374,-0.2316045258063435,1501804800
2897.45,2679.73,2679.73,2809.01,1.9912830534237038,-0.03046038227513698,1501200000
