Date,High,Low,Open,Close,Volume,Adj Close
2022-01-03,47510.7265625,40672.27734375,47343.54296875,41911.6015625,276182787152,41911.6015625
2022-01-10,44278.421875,39796.5703125,41910.23046875,43113.87890625,199473804544,43113.87890625
2022-01-17,43413.0234375,34349.25,43118.12109375,36276.8046875,196326044073,36276.8046875
2022-01-24,38825.41015625,33184.05859375,36275.734375,37917.6015625,178727434896,37917.6015625
2022-01-31,42500.78515625,36375.5390625,37920.28125,42412.43359375,143977109319,42412.43359375
2022-02-07,45661.171875,41748.15625,42406.78125,42197.515625,176958095731,42197.515625
2022-02-14,44667.21875,38112.8125,42157.3984375,38431.37890625,144975794552,38431.37890625
2022-02-21,40005.34765625,34459.21875,38423.2109375,37709.78515625,190469710084,37709.78515625
2022-02-28,45077.578125,37518.21484375,37706.0,38419.984375,187557375751,38419.984375
2022-03-07,42465.671875,37260.203125,38429.3046875,37849.6640625,175966999156,37849.6640625
2022-03-14,42316.5546875,37680.734375,37846.31640625,41247.82421875,184097042034,41247.82421875
2022-03-21,46827.546875,40668.04296875,41246.1328125,46820.4921875,188591889758,46820.4921875
2022-03-28,48086.8359375,44403.140625,46821.8515625,46453.56640625,223334181931,46453.56640625
2022-04-04,47106.140625,42021.20703125,46445.2734375,42207.671875,188557001876,42207.671875
2022-04-11,42424.58984375,39373.05859375,42201.0390625,39716.953125,174652159709,39716.953125
2022-04-18,42893.58203125,38696.19140625,39721.203125,39469.29296875,184314843516,39469.29296875
2022-04-25,40713.890625,37585.7890625,39472.60546875,38469.09375,216681007567,38469.09375
2022-05-02,39902.94921875,33878.96484375,38472.1875,34059.265625,239044762282,34059.265625
2022-05-09,34222.07421875,26350.490234375,34060.015625,31305.11328125,357800928090,31305.11328125
2022-05-16,31305.341796875,28708.955078125,31304.375,30323.72265625,196429842104,30323.72265625
2022-05-23,30590.5859375,28261.90625,30309.396484375,29445.95703125,212594819496,29445.95703125
2022-05-30,32249.86328125,29303.572265625,29443.365234375,29906.662109375,203063587161,29906.662109375
2022-06-06,31693.291015625,29311.68359375,29910.283203125,30111.998046875,124652374694,30111.998046875
2022-06-10,30229.697265625,28979.560546875,30086.400390625,29155.880859375,29641091072,29155.880859375
